Michael Jackson - Bad, 249, 2604187
Michael Jackson - The Way You Make Me Feel, 296, 2331434
Michael Jackson - Speed Demon, 240, 471959
Michael Jackson - Liberian Girl, 235, 849004
Michael Jackson - Just Good Friends, 148, 387321
Michael Jackson - Another Part of Me, 226, 575272
Michael Jackson - Man in the Mirror, 319, 2699323
Michael Jackson featuring Siedah Garrett - I Just Can't Stop Loving You, 259, 1101904
Michael Jackson - I Just Can't Stop Loving You, 259, 1101904
Michael Jackson - Dirty Diana, 280, 2047903
Michael Jackson - Smooth Criminal (Radio Edit), 256, 377781
Michael Jackson - Smooth Criminal, 335, 3513128
Michael Jackson - Leave Me Alone, 279, 801227
Quincy Jones - Voice-over Intro Quincy Jones Interview # 1 / Quincy Jones Interview #1, 243, 15
Quincy Jones - Voice-over Intro Quincy Jones Interview # 1/Quincy Jones Interview #1, 243, 3582
Michael Jackson - Quincy Jones - Prince, Michael Duet, 243, 244
Michael Jackson - Streetwalker, 353, 151105
Quincy Jones - Voice-over Intro Quincy Jones Interview #2 /Quincy Jones Interview #2, 173, 0
Michael Jackson - Quincy Jones - Favourite Tracks, 173, 221
Quincy Jones - Voice-over Intro Quincy Jones Interview #2/Quincy Jones Interview #2, 173, 3004
Michael Jackson - Todo Mi Amor Eres Tu (I Just Can't Stop Loving You), 250, 35977
Michael Jackson - Quincy Jones - Michael's Imagination, 150, 224
Quincy Jones - Quincy Jones Interview #3, 48, 11424
Michael Jackson - Prologue - Fly Away, 8, 28
Quincy Jones - Voice-over Intro "Fly Away", 8, 39
Michael Jackson - Fly Away, 207, 103464
